Maker,total_sales
OLA ELECTRIC TECHNOLOGIES PVT LTD,588266
TVS MOTOR COMPANY LTD,318445
ATHER ENERGY PVT LTD,236387
HERO ELECTRIC VEHICLES PVT. LTD,201785
BAJAJ AUTO LTD,198498
OKINAWA AUTOTECH PVT LTD,196182
YC ELECTRIC VEHICLE,152951
AMPERE VEHICLES PRIVATE LIMITED,141805
SAERA ELECTRIC AUTO PVT LTD,87481
MAHINDRA & MAHINDRA LIMITED,84794
TATA PASSENGER ELECTRIC MOBILITY LTD,74410
DILLI ELECTRIC AUTO PVT LTD,69966
OTHERS,68108
CHAMPION POLY PLAST,53493
TATA MOTORS PASSENGER VEHICLES LTD,52520
