Manufacturer,Total_Sales_2015_2024,Market_Share_Percent
OLA ELECTRIC TECHNOLOGIES PVT LTD,588266,13.306467027211408
TVS MOTOR COMPANY LTD,318445,7.20316641192987
ATHER ENERGY PVT LTD,236387,5.347029781019851
HERO ELECTRIC VEHICLES PVT. LTD,201785,4.564339004949894
BAJAJ AUTO LTD,198498,4.489987678987754
OKINAWA AUTOTECH PVT LTD,196182,4.437600191635058
YC ELECTRIC VEHICLE,152951,3.4597230475312393
AMPERE VEHICLES PRIVATE LIMITED,141805,3.207602609693087
SAERA ELECTRIC AUTO PVT LTD,87481,1.9788038778502943
MAHINDRA & MAHINDRA LIMITED,84794,1.9180244398033615
TATA PASSENGER ELECTRIC MOBILITY LTD,74410,1.6831402996175218
DILLI ELECTRIC AUTO PVT LTD,69966,1.5826178497922259
OTHERS,68108,1.5405902368814697
CHAMPION POLY PLAST,53493,1.2100016670802323
TATA MOTORS PASSENGER VEHICLES LTD,52520,1.1879925888444058
MAHINDRA LAST MILE MOBILITY LTD,46534,1.0525903870770292
MINI METRO EV L.L.P,44250,1.0009267337464767
PIAGGIO VEHICLES PVT LTD,43783,0.9903632809858077
GREAVES ELECTRIC MOBILITY PVT LTD,42879,0.96991496986023
UNIQUE INTERNATIONAL,41615,0.9413235259855284
PUR ENERGY PVT LTD,37051,0.8380866985771911
J. S. AUTO (P) LTD,36707,0.8303054828391394
ENERGY ELECTRIC VEHICLES,35821,0.8102643283510178
TERRA MOTORS INDIA PVT LTD,34887,0.7891374228296798
MAHINDRA ELECTRIC MOBILITY LIMITED,34807,0.787327837774319
REVOLT INTELLICORP PVT LTD,33818,0.7649568425274202
THUKRAL ELECTRIC BIKES PVT LTD,32845,0.7429477642915938
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,32106,0.7262317223426978
HERO MOTOCORP LTD,31489,0.7122752976032272
BEST WAY AGENCIES PVT LTD,30985,0.7008749117544538
VANI ELECTRIC VEHICLES PVT LTD,30809,0.6968938246326599
ALLFINE INDUSTRIES PVT LTD,29243,0.661471197173971
OKAYA EV PVT LTD,29116,0.6585984808985856
HOTAGE INDIA,28893,0.6535542625567672
LECTRIX EV PVT LTD,27821,0.6293058228149317
SKS TRADE INDIA PVT LTD,27494,0.6219091439011443
BGAUSS AUTO PRIVATE LIMITED,24148,0.5462232489606761
MG MOTOR INDIA PVT LTD,23343,0.5280142993411074
KHALSA E-VEHICLES PVT LTD,22263,0.5035849010937358
G.K. RICKSHAW,22111,0.5001466894885502
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,21862,0.4945143560037395
TATA MOTORS LTD,20504,0.46379664968898887
M/S SHRIRAM AUTO TECH PVT LTD,15910,0.3598812278848914
SPEEGO VEHICLES CO PVT LTD,15773,0.35678231347758593
VICTORY ELECTRIC INTERNATIONAL,15735,0.3559227605762895
MAA SHAKTI EXIM PVT LTD,15717,0.3555156039388333
JITENDRA NEW EV-TECH PVT. LTD,15543,0.35157975644342343
ATUL AUTO LTD,14988,0.3390257601218575
HOOGHLY MOTORS PVT LTD,14893,0.3368768778686164
OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,14595,0.3301361735373972
WARDWIZARD INNOVATIONS & MOBILITY LIMITED,14410,0.32595150809687523
BRIGHT AUTOZONE PVT LTD,13443,0.30407814874020084
DAKSH INDUSTRIES,13176,0.29803865861793394
GRD MOTORS,12499,0.28272504508694263
ZENIAK INNOVATION INDIA LTD,12261,0.27734152954724406
SAHNIANAND E VEHICLES PVT LTD,11995,0.27132465923816923
OMEGA SEIKI PVT LTD,11614,0.2627065104120131
SHRI BARSANA E-VEHICLES PVT LTD,11364,0.2570515571140104
ARROW AUTOMOTIVE,11228,0.25397526251989694
KLB KOMAKI PVT LTD,11168,0.2526180737283763
GOREEN E-MOBILITY PVT LTD,10839,0.24517615518820476
TWO FRIENDS AUTO ELECTRIC CO,10431,0.23594727140586438
N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,10355,0.23422816560327153
